"st_case","file_year","state","county","city","latitude","longitud","year","month","day","hour","minute","day_week","drunk_dr","fatals","func_sys","hit_run","land_use","lgt_cond","pave_typ","peds","persons","rail","rel_junc","rel_road","road_fnc","route","rur_urb","sch_bus","sp_limit","vehicles","weather","wrk_zone","typ_int","per_no","seat_pos","per_typ","race","age","sex","death_yr","death_mo","death_da","death_hr","death_mn","death_tm","doa","inj_sev","drinking","drugs","drugtest","location","man_rest","veh_no","n_mot_no","str_veh","make","mak_mod","mod_year","model","vin","ocupants","owner","deaths","vinmake","vinmodyr","vintype","body_typ","speedrel","bus_use","impacts","tire_sze","trav_sp","veh_man","vpavetyp","calc_acc_dt","calc_acc_tm","calc_death_dt","calc_death_tm","calc_int_flag","calc_speed_bucket","calc_fatal","reg_nm","st_abbr","st_nm","cnty_nm","cty_nm","day_week_desc","lgt_cond_desc","rel_junc_desc","road_fnc_desc","weather_desc","per_typ_desc","sex_desc","make_nm","model_name","body_typ_nm"
"       61723","        2016","           6","          29","           0","   35.651925","-117.7783056","        2016","          10","          11","           8","          50","           3","           0","           1","           2","           .","           .","           1","           .","           1","           1","0000000","           1","           2","           .","           3","           1","           0","           .","           .","           1","           0","           1","           1","           0","           6","           1","          68","           1","        2016","          10","          11","           9","          30","         930","           0","           4","           9","           9","           .","          20","           .","           0","           .","           1","          51","       51881","        2009","         881","4V4N19TG39N2","           .","           1","           0","","           .","","          66","           0","           0","           .","","          55","           .","           2","11OCT2016"," 8:50:00","11OCT2016"," 9:30:00","0","           0","1","West","CA","CALIFORNIA","KERN","","Tuesday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Bicyclist","Male","Volvo","Medium/Heavy � CBE","Truck/Tractor (Cab Only; or with Any Number of Trailing Units: Any Weight)"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","          17","          51","           2","           0","          13","           1","        8888","          88","          88","          88","          88","        8888","           0","           1","           9","           9","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Male","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","          16","          51","           2","           0","          13","           1","        8888","          88","          88","          88","          88","        8888","           0","           1","           9","           9","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Male","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","          15","          51","           2","           0","          13","           2","        8888","          88","          88","          88","          88","        8888","           0","           1","           8","           9","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Female","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","          14","          51","           2","           0","          13","           2","        8888","          88","          88","          88","          88","        8888","           0","           1","           8","           9","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Female","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","          13","          51","           2","           0","          13","           1","        8888","          88","          88","          88","          88","        8888","           0","           1","           8","           9","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Male","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","          12","          51","           2","           0","          53","           1","        8888","          88","          88","          88","          88","        8888","           0","           1","           8","           8","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Male","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","          11","          51","           2","           0","          32","           2","        8888","          88","          88","          88","          88","        8888","           0","           1","           8","           8","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Female","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","          10","          51","           2","           0","          14","           1","        8888","          88","          88","          88","          88","        8888","           0","           2","           8","           8","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Male","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","           9","          51","           2","           0","          13","           1","        8888","          88","          88","          88","          88","        8888","           0","           2","           8","           8","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Male","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
